# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Enriched: English glosses (all 2649) + ONE original A2–B1 German example sentence (de_sentence)
# with an English translation (en_sentence). Example sentences are ORIGINAL (the source's own
# examples were excluded for copyright). freq_rank: 1=most common (opensubtitles de_50k).
# Columns are tab-separated.
index	pos	article	word	plural	partizip_2	hilfsverb	english	de_sentence	en_sentence	freq_rank
2075	X		still				quiet; still; silent	Sei bitte still, das Baby schläft gerade.	Please be quiet, the baby is sleeping right now.	459
2076	N	der	Stiefel	Stiefel			boot	Im Winter trägt sie warme Stiefel, damit ihre Füße trocken bleiben.	In winter she wears warm boots to keep her feet dry.	1411
2077	N	die	Stimme	Stimmen			voice; vote	Seine Stimme klingt sehr ruhig und freundlich.	His voice sounds very calm and friendly.	458
2078	V		stimmen		gestimmt	haben	to be correct; to be right	Das stimmt nicht, ich war gestern nicht dabei.	That is not right, I was not there yesterday.	730
2079	N	die	Stimmung	Stimmungen			mood; atmosphere	Auf der Party herrschte eine sehr gute Stimmung.	There was a very good atmosphere at the party.	1171
2080	N	die	Stirn	Stirnen			forehead	Die Mutter legt ihre Hand auf die Stirn des kranken Kindes.	The mother places her hand on the sick child's forehead.	1579
2081	V		stinken		gestunken	haben	to stink; to smell bad	Der Mülleimer stinkt, ich muss ihn leeren.	The trash can smells bad, I need to empty it.	2087
2082	N	der	Stock				floor; storey; walking stick	Unser Büro liegt im dritten Stock.	Our office is on the third floor.	942
2083	N	das	Stockwerk	Stockwerke			floor; storey	Das Gebäude hat fünf Stockwerke und einen Aufzug.	The building has five floors and an elevator.	2085
2084	N	der	Stoff	Stoffe			fabric; material; substance	Sie kaufte einen schönen Stoff für das neue Kleid.	She bought a beautiful fabric for the new dress.	1128
2085	X		stolz				proud	Seine Eltern sind sehr stolz auf seine guten Noten.	His parents are very proud of his good grades.	450
2086	V		stoppen		gestoppt	haben	to stop	Die Polizistin stoppt das Auto an der Kontrolle.	The police officer stops the car at the checkpoint.	1015
2087	V		stören		gestört	haben	to disturb; to bother	Bitte stör mich nicht, ich muss jetzt lernen.	Please do not disturb me, I need to study now.	847
2088	N	die	Störung	Störungen			disturbance; disruption	Wegen einer Störung fährt die U-Bahn heute nicht.	Due to a disruption, the subway is not running today.	1237
2089	V		stoßen		gestoßen	haben	to push; to bump; to knock	Er hat sich den Kopf am Türrahmen gestoßen.	He bumped his head on the door frame.	1560
2090	N	die	Strafe	Strafen			punishment; penalty; fine	Als Strafe musste er sein Zimmer aufräumen.	As a punishment he had to tidy his room.	1069
2091	N	der	Strafzettel	Strafzettel			parking ticket; penalty notice	Er hat einen Strafzettel bekommen, weil er falsch geparkt hat.	He got a parking ticket because he parked in the wrong place.	1961
2092	N	der	Strand	Strände			beach	Im Sommer gehen wir oft an den Strand und schwimmen.	In summer we often go to the beach and swim.	884
2093	N	die	Straße	Straßen			street; road	Die Kinder spielen nicht auf der Straße, sondern im Garten.	The children do not play in the street but in the garden.	396
2094	N	die	Straßenbahn	Straßenbahnen			tram; streetcar	Ich fahre jeden Morgen mit der Straßenbahn zur Arbeit.	I take the tram to work every morning.	2361
2095	N	die	Strecke	Strecken			route; distance; stretch	Die Strecke von Köln nach Frankfurt dauert mit dem Zug etwa zwei Stunden.	The route from Cologne to Frankfurt takes about two hours by train.	1426
2096	V		streichen		gestrichen	haben	to paint; to cross out; to stroke	Wir haben das Wohnzimmer am Wochenende weiß gestrichen.	We painted the living room white over the weekend.	1621
2097	N	das	Streichholz	Streichhölzer			match (for lighting fire)	Er benutzte ein Streichholz, um die Kerze anzuzünden.	He used a match to light the candle.	2213
2098	V		streiken		gestreikt	haben	to go on strike	Die Busfahrer streiken heute für höhere Löhne.	The bus drivers are striking today for higher wages.	2319
2099	N	der	Streik	Streiks			strike; industrial action	Wegen des Streiks fährt heute kein Zug.	Due to the strike, no trains are running today.	2057
2100	V		streiten		gestritten	haben	to argue; to quarrel	Die Geschwister streiten sich oft um das Tablet.	The siblings often argue over the tablet.	975
2101	N	der	Streit				argument; quarrel	Nach dem Streit haben sie sich wieder versöhnt.	After the argument they made up again.	855
2102	X		streng				strict; severe	Ihr Vater ist sehr streng und erlaubt ihr wenig Freiheit.	Her father is very strict and allows her little freedom.	1110
2103	N	der	Stress				stress	Bei der Arbeit hat er sehr viel Stress.	He has a lot of stress at work.	1169
2104	N	der	Strom				electricity; current; power	Beim Gewitter fiel der Strom für eine Stunde aus.	During the thunderstorm the power went out for an hour.	1082
2105	N	der	Strumpf	Strümpfe			stocking; sock	Sie kauft neue Strümpfe, weil ihre alten Löcher haben.	She is buying new stockings because her old ones have holes.	2473
2106	N	das	Stück	Stücke			piece; item; bit	Möchtest du ein Stück Kuchen haben?	Would you like a piece of cake?	411
2107	V		studieren		studiert	haben	to study at university	Sie studiert Medizin an der Universität Berlin.	She is studying medicine at the University of Berlin.	1386
2108	N	der	Student	Studenten			university student	Der Student wohnt in einem Wohnheim in der Nähe der Uni.	The student lives in a dormitory near the university.	1880
2109	N	das	Studium	Studien			university studies; degree programme	Sein Studium dauert insgesamt fünf Jahre.	His degree programme lasts five years in total.	1696
2110	N	das	Studio	Studios			studio	Die Fotografin mietet ein kleines Studio in der Stadt.	The photographer rents a small studio in the city.	1322
2111	N	die	Stufe	Stufen			step; level; stage	Vorsicht, die letzte Stufe der Treppe ist rutschig.	Careful, the last step of the stairs is slippery.	1552
2112	N	der	Stuhl	Stühle			chair	Bitte setz dich auf den Stuhl vor meinem Schreibtisch.	Please sit on the chair in front of my desk.	957
2113	X		stumm				mute; silent; speechless	Sie war stumm vor Überraschung, als sie die Nachricht hörte.	She was speechless with surprise when she heard the news.	1921
2114	N	die	Stunde	Stunden			hour; lesson	Wir warten schon seit einer Stunde auf den Bus.	We have been waiting for the bus for an hour already.	354
2115	N	der	Sturm	Stürme			storm	Der Sturm letzte Nacht hat mehrere Bäume umgeworfen.	The storm last night knocked down several trees.	1096
2116	V		stürzen		gestürzt	sein	to fall; to topple; to crash	Er ist auf der Treppe gestürzt und hat sich den Arm gebrochen.	He fell on the stairs and broke his arm.	1473
2117	V		suchen		gesucht	haben	to look for; to search	Ich suche schon seit einer Stunde meinen Schlüssel.	I have been looking for my key for an hour.	245
2118	N	der	Süden				south; the South	Im Süden Deutschlands ist es im Sommer sehr warm.	In the south of Germany it is very warm in summer.	1108
2119	X		südlich				southern; southerly	Das Dorf liegt südlich von München, nahe den Alpen.	The village is located south of Munich, near the Alps.	1925
2120	N	der	Supermarkt	Supermärkte			supermarket	Sie kauft frisches Gemüse im Supermarkt um die Ecke.	She buys fresh vegetables at the supermarket around the corner.	1740
2121	N	die	Suppe	Suppen			soup	Bei Erkältung trinkt sie immer eine heiße Suppe.	When she has a cold she always drinks a hot soup.	1230
2122	X		süß				sweet; cute	Das Baby sieht sehr süß aus, wenn es lächelt.	The baby looks very cute when it smiles.	537
2123	N	das	Symbol	Symbole			symbol	Die Taube gilt als Symbol des Friedens.	The dove is considered a symbol of peace.	1500
2124	X		sympathisch				likeable; pleasant; nice	Unser neuer Kollege ist sehr sympathisch und hilfsbereit.	Our new colleague is very likeable and helpful.	2135
2125	N	das	System	Systeme			system	Das neue System läuft viel schneller als das alte.	The new system runs much faster than the old one.	825
2126	N	die	Tabelle	Tabellen			table; chart; spreadsheet	Er trägt alle Daten in eine Tabelle ein.	He enters all the data into a table.	2501
2127	N	die	Tablette	Tabletten			tablet; pill	Sie nimmt täglich eine Tablette gegen den Bluthochdruck.	She takes a tablet for high blood pressure every day.	2251
2128	N	die	Tafel	Tafeln			blackboard; board; bar	Die Lehrerin schreibt das Datum an die Tafel.	The teacher writes the date on the blackboard.	1726
2129	N	der	Tagesablauf	Tagesabläufe			daily routine	Sein Tagesablauf beginnt immer mit einem frühen Frühstück.	His daily routine always begins with an early breakfast.	2514
2130	N	die	Tagesmutter	Tagesmütter			childminder; day care mother	Die Tagesmutter passt auf drei kleine Kinder auf.	The childminder looks after three small children.	2635
2131	N	das	Tal	Täler			valley	Das Tal zwischen den Bergen ist grün und wunderschön.	The valley between the mountains is green and beautiful.	1478
2132	V		tanken		getankt	haben	to fill up; to refuel	Wir müssen tanken, der Tank ist fast leer.	We need to fill up, the tank is almost empty.	2142
2133	N	die	Tankstelle	Tankstellen			petrol station; gas station	Die nächste Tankstelle ist etwa zehn Kilometer entfernt.	The nearest petrol station is about ten kilometres away.	1717
2134	N	die	Tante	Tanten			aunt	Meine Tante besucht uns jedes Jahr zu Weihnachten.	My aunt visits us every year at Christmas.	601
2135	V		tanzen		getanzt	haben	to dance	Am Samstag tanzen sie gerne in einem Salsakurs.	On Saturdays they enjoy dancing in a salsa class.	547
2136	N	der	Tanz	Tänze			dance	Der Tanz auf dem Schulfest hat allen viel Spaß gemacht.	The dance at the school festival was a lot of fun for everyone.	1014
2137	N	der	Tarif	Tarife			rate; tariff; fare	Welchen Tarif empfehlen Sie für Mobiltelefone?	Which rate do you recommend for mobile phones?	2551
2138	N	die	Tasche	Taschen			bag; pocket	Sie packt ihre Bücher in die Tasche und geht zur Schule.	She packs her books into her bag and goes to school.	586
2139	N	das	Taschentuch	Taschentücher			handkerchief; tissue	Er gibt ihr ein Taschentuch, weil sie weint.	He gives her a tissue because she is crying.	1948
2140	N	die	Tasse	Tassen			cup	Möchten Sie eine Tasse Tee oder Kaffee?	Would you like a cup of tea or coffee?	1206
2141	N	die	Taste	Tasten			key; button	Drücken Sie die rote Taste, um die Maschine zu starten.	Press the red button to start the machine.	2307
2142	N	die	Tastatur	Tastaturen			keyboard	Meine Tastatur hat eine Taste, die nicht mehr funktioniert.	My keyboard has a key that no longer works.	2367
2143	N	die	Tat	Taten			deed; act; action	Die gute Tat des Jungen wurde von allen gelobt.	The boy's good deed was praised by everyone.	369
2144	N	der	Täter	Täter			perpetrator; offender	Die Polizei hat den Täter nach einem Tag gefunden.	The police found the perpetrator after one day.	1086
2145	N	die	Tätigkeit	Tätigkeiten			activity; occupation	Welche Tätigkeit üben Sie zurzeit aus?	What occupation do you currently have?	2303
2146	V		täuschen		getäuscht	haben	to deceive; to be mistaken	Er hat sich mit seiner Schätzung stark getäuscht.	He was badly mistaken in his estimate.	1477
2147	N	das	Taxi	Taxis			taxi; cab	Wir nehmen ein Taxi, weil der Bus schon weg ist.	We are taking a taxi because the bus has already left.	773
2148	N	das	Team	Teams			team	Unser Team hat das Projekt gemeinsam erfolgreich abgeschlossen.	Our team successfully completed the project together.	477
2149	N	die	Technik	Techniken			technology; technique	Die moderne Technik macht das Leben viel einfacher.	Modern technology makes life much easier.	1298
2150	X		technisch				technical; technological	Es gibt ein technisches Problem mit dem Drucker im Büro.	There is a technical problem with the printer in the office.	1772
2151	N	der	Tee				tea	Abends trinkt sie gerne eine Tasse Tee.	In the evenings she likes to drink a cup of tea.	664
2152	N	das	Teil	Teile			part; component	Ein wichtiges Teil des Motors muss ausgetauscht werden.	An important part of the engine needs to be replaced.	313
2153	N	der	Teil	Teile			part; section; portion	Der erste Teil des Films war spannender als der zweite.	The first part of the film was more exciting than the second.	314
2154	N	die	Teilzeit				part-time	Sie arbeitet in Teilzeit, um mehr Zeit für ihre Kinder zu haben.	She works part-time to have more time for her children.	2458
2155	V		teilen		geteilt	haben	to share; to divide	Die Kinder teilen den Kuchen in gleich große Stücke.	The children divide the cake into equal pieces.	677
2156	V		teilnehmen		teilgenommen	haben	to participate; to take part	Viele Schüler nehmen an dem Wettbewerb teil.	Many students are taking part in the competition.	1752
2157	N	die	Teilnahme	Teilnahmen			participation; attendance	Die Teilnahme an dem Kurs ist kostenlos.	Participation in the course is free of charge.	2317
2158	N	der	Teilnehmer	Teilnehmer			participant; attendee	Alle Teilnehmer bekommen am Ende ein Zertifikat.	All participants receive a certificate at the end.	2065
2159	X		teilweise				partly; partially	Das Projekt ist bereits teilweise fertig.	The project is already partially finished.	2022
2160	V		telefonieren		telefoniert	haben	to phone; to make a call	Sie telefoniert jeden Abend mit ihrer Mutter.	She calls her mother on the phone every evening.	1291
2161	N	das	Telefon	Telefone			telephone; phone	Das Telefon klingelt, aber niemand geht ran.	The telephone is ringing, but nobody answers.	347
2162	N	der	Teller	Teller			plate; dish	Er isst seinen Teller leer, weil ihm das Essen schmeckt.	He clears his plate because he enjoys the food.	1323
2163	N	die	Temperatur	Temperaturen			temperature	Die Temperatur sinkt nachts oft unter null Grad.	The temperature often drops below zero degrees at night.	1667
2164	N	das	Tempo				speed; pace; tempo	Bitte fahr etwas langsamer, das Tempo ist zu hoch.	Please drive a bit slower, the speed is too high.	1475
2165	N	das	Tennis				tennis	Wir spielen jeden Freitag Tennis mit unseren Freunden.	We play tennis with our friends every Friday.	1949
2166	N	der	Teppich	Teppiche			carpet; rug	Der Teppich im Wohnzimmer ist blau und sehr weich.	The carpet in the living room is blue and very soft.	1446
2167	N	der	Termin	Termine			appointment; date; deadline	Ich habe morgen einen Termin beim Zahnarzt.	I have a dentist appointment tomorrow.	890
2168	N	die	Terrasse	Terrassen			terrace; patio	An warmen Sommerabenden sitzen wir gerne auf der Terrasse.	On warm summer evenings we like to sit on the terrace.	2072
2169	V		testen		getestet	haben	to test; to try out	Der Techniker testet das neue Gerät vor der Lieferung.	The technician tests the new device before delivery.	1260
2170	N	der	Test	Tests			test; exam; trial	Die Schüler haben morgen einen Test in Mathematik.	The students have a maths test tomorrow.	898
2171	X		teuer				expensive; costly	Das neue Smartphone ist mir zu teuer, ich kaufe ein günstigeres.	The new smartphone is too expensive for me, I will buy a cheaper one.	963
2172	N	der	Text	Texte			text; passage; lyrics	Sie liest den Text sorgfältig durch, bevor sie unterschreibt.	She reads the text carefully before signing.	1257
2173	N	das	Theater	Theater			theatre; theater	Wir gehen nächste Woche ins Theater, um ein Stück zu sehen.	We are going to the theatre next week to see a play.	965
2174	N	das	Thema	Themen			topic; subject; theme	Das Thema der heutigen Diskussion ist der Klimawandel.	The topic of today's discussion is climate change.	828
2175	X		theoretisch				theoretical; theoretically	Theoretisch könnte er die Prüfung bestehen, wenn er lernt.	Theoretically he could pass the exam if he studies.	1839
2176	N	die	Therapie	Therapien			therapy; treatment	Nach dem Unfall machte sie eine Therapie für ihr Knie.	After the accident she had therapy for her knee.	1396
2177	N	das	Ticket	Tickets			ticket	Ich kaufe das Ticket für den Zug online.	I buy the train ticket online.	1612
2178	X		tief				deep; low; profound	Das Wasser im See ist an dieser Stelle sehr tief.	The water in the lake is very deep at this point.	577
2179	N	das	Tier	Tiere			animal	Im Zoo können Kinder viele verschiedene Tiere sehen.	Children can see many different animals at the zoo.	824
2180	N	das	Haustier	Haustiere			pet; domestic animal	Unser Haustier ist eine kleine Katze namens Mimi.	Our pet is a small cat named Mimi.	2067
2181	N	der	Tierpark	Tierparks			animal park; wildlife park	Am Sonntag besuchen wir den Tierpark mit den Kindern.	On Sunday we are visiting the animal park with the children.	2636
2182	N	der	Tipp	Tipps			tip; hint; advice	Der Verkäufer gibt ihr einen nützlichen Tipp beim Kauf.	The salesman gives her a useful tip when purchasing.	1341
2183	N	der	Tisch	Tische			table	Bitte deck den Tisch, das Essen ist gleich fertig.	Please set the table, dinner will be ready soon.	492
2184	N	der	Titel	Titel			title; heading	Der Titel des Buches hat mich sofort neugierig gemacht.	The title of the book made me curious immediately.	1222
2185	N	die	Tochter	Töchter			daughter	Ihre Tochter geht noch in die Grundschule.	Her daughter still goes to primary school.	235
2186	N	der	Tod				death	Der Tod ihres Vaters war für die Familie sehr schwer.	The death of her father was very hard for the family.	260
2187	X		tödlich				deadly; fatal; lethal	Der Unfall hatte tödliche Folgen für den Fahrer.	The accident had fatal consequences for the driver.	1595
2188	N	die	Toilette	Toiletten			toilet; bathroom; restroom	Die Toilette in diesem Café ist sehr sauber.	The toilet in this café is very clean.	962
2189	X		tolerant				tolerant; open-minded	Sie ist sehr tolerant und akzeptiert andere Meinungen.	She is very tolerant and accepts different opinions.	2461
2190	X		toll				great; fantastic; amazing	Das Konzert war wirklich toll, wir hatten viel Spaß.	The concert was really great, we had a lot of fun.	216
2191	N	die	Tomate	Tomaten			tomato	Sie schneidet die Tomaten für den Salat in Scheiben.	She slices the tomatoes for the salad.	2294
2192	N	die	Tonne	Tonnen			ton; barrel; bin	Bitte wirf den Müll in die richtige Tonne.	Please throw the rubbish into the correct bin.	2112
2193	N	das	Top	Tops			top (garment); tank top	Sie trägt ein rotes Top zum weißen Rock.	She wears a red top with the white skirt.	1662
2194	N	der	Topf	Töpfe			pot; pan	Das Wasser im Topf kocht schon, du kannst die Nudeln hineingeben.	The water in the pot is already boiling, you can add the pasta.	1917
2195	N	das	Tor	Tore			gate; goal	Das Tor zum Garten ist am Morgen offen.	The gate to the garden is open in the morning.	841
2196	X		tot				dead	Die Pflanze im Büro ist schon lange tot.	The plant in the office has been dead for a long time.	157
2197	N	der	Tote				dead person; casualty	Bei dem Unfall auf der Autobahn gab es leider zwei Tote.	Unfortunately there were two fatalities in the motorway accident.	851
2198	X		total				total; completely; utterly	Nach dem langen Wandertag waren wir total erschöpft.	After the long hiking day we were completely exhausted.	400
2199	N	die	Tour	Touren			tour; trip; outing	Wir machen am Wochenende eine Tour mit dem Fahrrad.	We are going on a bike tour this weekend.	1233
2200	N	der	Tourismus				tourism	Der Tourismus ist für diese Küstenstadt sehr wichtig.	Tourism is very important for this coastal town.	2488
2201	N	der	Tourist	Touristen			tourist	Der Tourist fragt nach dem Weg zur nächsten Sehenswürdigkeit.	The tourist asks for directions to the nearest attraction.	2288
2202	N	die	Tradition	Traditionen			tradition	In unserer Familie ist es eine Tradition, Ostern zusammen zu feiern.	In our family it is a tradition to celebrate Easter together.	1451
2203	X		traditionell				traditional; traditionally	Wir trinken traditionell zu Neujahr ein Glas Sekt.	Traditionally we drink a glass of sparkling wine at New Year.	2323
2204	V		tragen		getragen	haben	to carry; to wear; to bear	Er trägt jeden Tag eine Krawatte zur Arbeit.	He wears a tie to work every day.	447
2205	V		trainieren		trainiert	haben	to train; to practise; to work out	Sie trainiert dreimal pro Woche im Fitnessstudio.	She trains at the gym three times a week.	1431
2206	N	der	Trainer	Trainer			trainer; coach; instructor	Der Trainer gibt der Mannschaft vor dem Spiel letzte Hinweise.	The coach gives the team final pointers before the match.	1448
2207	N	das	Training				training; practice; workout	Das tägliche Training hat seine Leistung deutlich verbessert.	Daily training has significantly improved his performance.	1228
2208	V		transportieren		transportiert	haben	to transport; to carry	Die Spedition transportiert die Möbel in die neue Wohnung.	The shipping company transports the furniture to the new apartment.	1968
2209	N	der	Transport	Transporte			transport; shipment	Der Transport der Waren dauert etwa drei Tage.	The transport of the goods takes about three days.	1686
2210	N	die	Trauung	Trauungen			wedding ceremony	Die Trauung fand in einer kleinen Kirche statt.	The wedding ceremony took place in a small church.	2296
2211	V		träumen		geträumt	haben	to dream	Letzte Nacht habe ich von einer langen Reise geträumt.	Last night I dreamed of a long journey.	1058
2212	N	der	Traum	Träume			dream	Ihr größter Traum ist es, einmal nach Japan zu reisen.	Her greatest dream is to travel to Japan someday.	514
2213	X		Traum-				dream (prefix); ideal	Sie haben eine Traumwohnung mit großer Terrasse gefunden.	They found a dream apartment with a large terrace.	515
2214	X		traurig				sad; unhappy	Er war sehr traurig, als sein Hund starb.	He was very sad when his dog died.	616
2215	V		treffen		getroffen	haben	to meet; to hit	Wir treffen uns morgen um zehn Uhr am Bahnhof.	We are meeting tomorrow at ten o'clock at the train station.	230
2216	N	der	Treffpunkt	Treffpunkte			meeting point	Der Treffpunkt für die Gruppe ist vor dem Museum.	The meeting point for the group is in front of the museum.	1853
2217	V		treiben		getrieben	haben	to do (sport); to drive	Sie treibt jeden Morgen Sport im Park.	She does sports in the park every morning.	1085
2218	V		trennen		getrennt	haben	to separate; to divide	Bitte trennen Sie den Müll in verschiedene Behälter.	Please separate the waste into different containers.	1052
2219	N	die	Trennung	Trennungen			separation; split	Nach der Trennung zog er in eine andere Stadt.	After the separation he moved to another city.	1610
2220	N	die	Treppe	Treppen			stairs; staircase	Die Kinder laufen schnell die Treppe hinauf.	The children run quickly up the stairs.	1112
2221	V		treten		getreten	sein	to step; to kick	Bitte treten Sie nicht auf den frisch gewischten Boden.	Please do not step on the freshly mopped floor.	784
2222	X		treu				faithful; loyal	Ihr Hund ist immer treu und folgt ihr überall hin.	Her dog is always loyal and follows her everywhere.	1390
2223	V		trinken		getrunken	haben	to drink	Morgens trinkt er immer eine Tasse starken Kaffee.	In the mornings he always drinks a cup of strong coffee.	319
2224	N	das	Trinkgeld	Trinkgelder			tip; gratuity	Wir haben dem Kellner ein großzügiges Trinkgeld gegeben.	We gave the waiter a generous tip.	1630
2225	V		trocknen		getrocknet	haben	to dry	Sie trocknet die nasse Wäsche auf dem Balkon.	She dries the wet laundry on the balcony.	2170
2226	X		trocken				dry	Nach dem Regen wurde es wieder trocken und sonnig.	After the rain it became dry and sunny again.	1416
2227	N	der	Tropfen	Tropfen			drop	Ein paar Tropfen Zitronensaft machen den Salat frischer.	A few drops of lemon juice make the salad fresher.	1502
2228	X		trotz				despite; in spite of	Trotz des schlechten Wetters machten wir einen Spaziergang.	Despite the bad weather we went for a walk.	960
2229	X		trotzdem				nevertheless; anyway	Es regnete, aber wir gingen trotzdem in den Park.	It was raining but we went to the park anyway.	362
2230	N	das	T-Shirt	T-Shirts			T-shirt	Im Sommer trägt er meistens ein weißes T-Shirt.	In summer he usually wears a white T-shirt.	1712
2231	V		tun		getan	haben	to do	Was tust du heute Abend nach der Arbeit?	What are you doing this evening after work?	1734
2232	N	die	Tür	Türen			door	Bitte schließ die Tür, wenn du das Zimmer verlässt.	Please close the door when you leave the room.	221
2233	N	der	Turm	Türme			tower	Der Turm ist das höchste Gebäude in der Stadt.	The tower is the tallest building in the city.	1577
2234	N	die	Tüte	Tüten			bag; paper bag	Sie packte das Gemüse in eine Tüte vom Markt.	She put the vegetables in a bag from the market.	1643
2235	N	der	Typ	Typen			type; guy	Welcher Typ von Handy suchst du gerade?	What type of phone are you looking for?	307
2236	X		typisch				typical	Es ist typisch für ihn, immer zu spät zu kommen.	It is typical of him to always come late.	1343
2237	N	die	U-Bahn	U-Bahnen			subway; underground	Mit der U-Bahn kommen wir in zehn Minuten ans Ziel.	With the subway we reach our destination in ten minutes.	1688
2238	X		üben				to practice; to train	Sie übt jeden Tag Klavier für das Konzert.	She practices piano every day for the concert.	1244
2239	N	die	Übung	Übungen			exercise; practice	Diese Übung hilft dir, die Grammatik besser zu verstehen.	This exercise helps you understand grammar better.	1371
2240	X		über				over; above; about; via	Wir sprechen über das neue Projekt beim Mittagessen.	We are talking about the new project over lunch.	75
2241	X		überall				everywhere	In der Stadt gibt es überall Fahrradwege und Parks.	In the city there are cycle paths and parks everywhere.	366
2242	V		überfahren		überfahren	haben	to run over; to drive over	Der Fahrer hat fast eine Katze überfahren.	The driver almost ran over a cat.	1617
2243	X		überhaupt				at all; generally	Hast du überhaupt Zeit, mir heute zu helfen?	Do you have any time at all to help me today?	255
2244	V		überholen		überholt	haben	to overtake; to pass	Der Lastwagen überholte das Auto auf der Autobahn.	The truck overtook the car on the motorway.	2311
2245	V		überlegen		überlegt	haben	to think over; to consider	Ich muss noch überlegen, welches Restaurant wir wählen.	I still need to think about which restaurant we should choose.	852
2246	X		übermorgen				the day after tomorrow	Übermorgen fährt sie mit dem Zug nach Berlin.	The day after tomorrow she is taking the train to Berlin.	1691
2247	V		übernachten		übernachtet	haben	to stay overnight	Wir übernachten in einem kleinen Hotel in der Altstadt.	We are staying overnight in a small hotel in the old town.	1623
2248	N	die	Übernachtung	Übernachtungen			overnight stay	Die Übernachtung im Hotel kostet achtzig Euro pro Person.	The overnight stay at the hotel costs eighty euros per person.	2489
2249	V		übernehmen		übernommen	haben	to take over; to take on	Sie übernimmt die Leitung des Projekts ab nächster Woche.	She takes over the management of the project from next week.	690
2250	V		überprüfen		überprüft	haben	to check; to verify	Bitte überprüfen Sie die Daten, bevor Sie das Formular absenden.	Please check the data before submitting the form.	832
2251	V		überqueren		überquert	haben	to cross	Die Kinder überqueren die Straße an der Ampel.	The children cross the street at the traffic light.	1950
2252	V		überraschen		überrascht	haben	to surprise	Seine Freundin hat ihn mit einem Geburtstagskuchen überrascht.	His girlfriend surprised him with a birthday cake.	1314
2253	N	die	Überraschung	Überraschungen			surprise	Die Überraschungsparty war eine tolle Idee von seiner Familie.	The surprise party was a great idea from his family.	634
2254	V		überreden		überredet	haben	to persuade; to talk into	Sie hat mich überredet, mit ihr ins Kino zu gehen.	She talked me into going to the cinema with her.	1565
2255	V		übersetzen		übersetzt	haben	to translate	Er übersetzt den Brief aus dem Deutschen ins Englische.	He translates the letter from German into English.	1995
2256	N	der	Übersetzer	Übersetzer			translator	Der Übersetzer arbeitet für mehrere internationale Firmen.	The translator works for several international companies.	2384
2257	N	die	Übersetzung	Übersetzungen			translation	Die Übersetzung des Romans war sehr anspruchsvoll.	The translation of the novel was very demanding.	938
2258	N	die	Überstunde	Überstunden			overtime hour	Sie macht diese Woche drei Überstunden für ein wichtiges Projekt.	She is working three overtime hours this week for an important project.	2637
2259	V		übertragen		übertragen	haben	to transfer; to broadcast; to transmit	Das Spiel wird heute Abend live im Fernsehen übertragen.	The game is being broadcast live on television tonight.	1517
2260	V		übertreiben		übertrieben	haben	to exaggerate	Er übertreibt manchmal, wenn er von seinem Urlaub erzählt.	He sometimes exaggerates when he talks about his vacation.	1834
2261	V		überweisen		überwiesen	haben	to transfer (money); to refer	Ich überweise das Geld heute noch auf dein Konto.	I will transfer the money to your account today.	2245
2262	N	die	Überweisung	Überweisungen			bank transfer; referral	Die Überweisung zum Spezialisten hat zwei Wochen gedauert.	The referral to the specialist took two weeks.	2338
2263	V		überzeugen		überzeugt	haben	to convince; to persuade	Er hat uns mit seinen guten Argumenten überzeugt.	He convinced us with his good arguments.	977
2264	N	die	Überzeugung	Überzeugungen			conviction; belief	Es ist meine feste Überzeugung, dass Ehrlichkeit wichtig ist.	It is my firm conviction that honesty is important.	2010
2265	X		üblich				usual; customary; common	Es ist üblich, dem Gastgeber ein kleines Geschenk mitzubringen.	It is customary to bring the host a small gift.	1605
2266	X		übrig				remaining; left over	Hast du noch übrige Nudeln vom Mittagessen?	Do you have any leftover pasta from lunch?	706
2267	X		übrigens				by the way; incidentally	Übrigens hat Marco angerufen und nach dir gefragt.	By the way, Marco called and asked about you.	645
2268	N	die	Uhr	Uhren			clock; watch; o'clock	Die Uhr an der Wand zeigt kurz vor acht.	The clock on the wall shows just before eight.	206
2269	X		um				at (time); around; in order to	Der Zug fährt um halb neun vom Hauptbahnhof ab.	The train departs from the main station at half past eight.	43
2270	V		umarmen		umarmt	haben	to hug; to embrace	Die Kinder umarmten ihre Mutter nach langer Abwesenheit.	The children hugged their mother after a long absence.	1657
2271	X		um ... zu				in order to	Er lernt Deutsch, um in Deutschland arbeiten zu können.	He is learning German in order to be able to work in Germany.	44
2272	V		umdrehen		umgedreht	haben	to turn around; to flip	Sie dreht das Buch um und liest den Rückentext.	She turns the book over and reads the back cover.	1267
2273	N	die	Umfrage	Umfragen			survey; poll	Die Umfrage zeigt, dass viele Leute unzufrieden sind.	The survey shows that many people are dissatisfied.	2365
2274	N	die	Umgebung	Umgebungen			surroundings; area	Die Umgebung des Hotels ist ruhig und sehr grün.	The surroundings of the hotel are quiet and very green.	1379
2275	X		umgekehrt				the other way around; reversed	Ich dachte, du rufst mich an, aber es war umgekehrt.	I thought you would call me but it was the other way around.	1713
2276	N	die	Umleitung	Umleitungen			detour; diversion	Wegen Bauarbeiten gibt es eine Umleitung durch das Dorf.	Due to construction work there is a detour through the village.	2492
2277	X		umso				all the more; so much the	Je früher du anfängst, umso besser wirst du vorbereitet sein.	The earlier you start, the better prepared you will be.	1344
